ip,alert_count,directions,unique_signatures,unique_categories,critical_severity,top_signature,top_category,top_local_peers,first_seen,last_seen,vt_lookup_status,vt_malicious,vt_suspicious,vt_harmless,vt_undetected,vt_reputation,vt_country,vt_as_owner,vt_network,vt_tags,vt_error,risk_score,risk_level
216.239.34.21,2,"inbound, outbound",2,2,1,ET POLICY Possible External IP Lookup Domain Observed in SNI (ipinfo. io),A Network Trojan was detected,10.47.2.153,2018-03-24 12:54:37.088493-06:00,2018-03-24 12:54:37.124703-06:00,ok,0.0,0.0,60.0,34.0,-88.0,US,Google LLC,216.239.32.0/20,,,84.0,high
217.182.164.10,3,"inbound, outbound",3,2,1,ET CURRENT_EVENTS Observed Coin-Hive In Browser Mining Domain (coin-hive .com in TLS SNI),A Network Trojan was detected,10.47.2.153,2018-03-24 15:38:53.402936-06:00,2018-03-24 15:38:54.732723-06:00,ok,0.0,1.0,57.0,36.0,0.0,FR,OVH SAS,217.182.0.0/16,,,48.0,medium
64.135.77.30,3,outbound,3,2,1,ET MALWARE Spyware Related User-Agent (UtilMind HTTPGet),A Network Trojan was detected,"10.47.42.68, 10.47.41.68",2018-03-24 14:35:03.195686-06:00,2018-03-24 15:11:12.011055-06:00,ok,0.0,0.0,0.0,94.0,0.0,US,"BroadbandONE, LLC",64.135.72.0/21,,,45.0,medium
204.11.50.131,2,inbound,2,1,2,ET TOR Known Tor Exit Node Traffic group 50,Misc Attack,10.47.44.10,2018-03-24 18:00:51.377604-06:00,2018-03-24 18:00:51.377604-06:00,ok,2.0,1.0,58.0,33.0,0.0,CA,Priority Colo Inc,204.11.48.0/21,,,45.0,medium
134.119.3.164,2,inbound,2,2,2,ET POLICY TLS possible TOR SSL traffic,Misc Attack,10.47.44.68,2018-03-24 15:36:42.346095-06:00,2018-03-24 15:36:43.576629-06:00,ok,1.0,0.0,58.0,35.0,0.0,DE,,,,,36.0,medium
5.9.158.75,2,inbound,2,1,2,ET TOR Known Tor Exit Node Traffic group 67,Misc Attack,10.47.24.170,2018-03-24 18:43:13.536101-06:00,2018-03-24 18:43:13.536101-06:00,ok,1.0,0.0,57.0,36.0,0.0,DE,Hetzner Online GmbH,5.9.0.0/16,,,36.0,medium
66.235.134.197,1,outbound,1,1,1,ET POLICY AOL Toolbar User-Agent (AOLToolbar),Potential Corporate Privacy Violation,10.47.42.68,2018-03-24 14:33:58.169183-06:00,2018-03-24 14:33:58.169183-06:00,ok,0.0,0.0,0.0,94.0,0.0,US,Adobe Inc.,66.235.132.0/22,,,35.0,medium
162.220.223.28,1,outbound,1,1,1,ET POLICY TeamViewer Dyngate User-Agent,Potential Corporate Privacy Violation,10.47.1.208,2018-03-23 14:17:06.584555-06:00,2018-03-23 14:17:06.584555-06:00,ok,0.0,0.0,59.0,35.0,0.0,US,Anexia Cloud Solutions GmbH,162.220.220.0/22,,,35.0,medium
54.192.86.116,1,outbound,1,1,1,ET POLICY User-Agent (Launcher),A Network Trojan was detected,10.47.23.81,2018-03-23 21:19:45.344037-06:00,2018-03-23 21:19:45.344037-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,medium
54.166.207.180,1,outbound,1,1,1,ET POLICY User-Agent (NSIS_Inetc (Mozilla)) - Sometimes used by hostile installers,A Network Trojan was detected,10.47.45.68,2018-03-24 16:01:34.934433-06:00,2018-03-24 16:01:34.934433-06:00,skipped,0.0,0.0,0.0,0.0,0.0,,,,,,35.0,medium
